type,code,date,value,prev_value,change,change_pct,market_cap,asof_kst
"index","KOSPI","26.02.13","5,507.01","5,522.27","-15.26","-0.28%","","KRX 직전영업일"
"index","KOSPI","26.02.12","5,522.27","","","","","KRX 직전영업일"
"index","KOSDAQ","26.02.13","1,106.08","1,125.99","-19.91","-1.77%","","KRX 직전영업일"
"index","KOSDAQ","26.02.12","1,125.99","","","","","KRX 직전영업일"
"stock","Hyundai Rotem","","201,500","","","","","2026-02-17 01:59:43"
"stock","Hanwha Aerospace","","1,105,000","","","","","2026-02-17 01:59:45"
"stock","Korea Aerospace Industries","","176,700","","","","","2026-02-17 01:59:46"
"stock","LIG Nex1","","460,000","","","","","2026-02-17 01:59:48"
"stock","다원시스","","2,485","","","","","2026-02-17 01:59:50"
"stock","Hyundai Motor Company","","499,000","","","","","2026-02-17 01:59:54"
"stock","Kia","","164,100","","","","","2026-02-17 01:59:56"
"stock","Hyundai Mobis","","435,000","","","","","2026-02-17 01:59:57"
"stock","Hyundai Glovis","","255,000","","","","","2026-02-17 01:59:59"
"stock","Hyundai AutoEver","","436,500","","","","","2026-02-17 02:00:01"
"stock","Hyundai Wia","","83,900","","","","","2026-02-17 02:00:03"
"stock","Samsung Electronics","","181,200","","","","","2026-02-17 02:00:05"
"stock","SK Hynix","","880,000","","","","","2026-02-17 02:00:07"
